measure,location,sex,age,cause,metric,year,val,upper,lower
1,1,3,22,591,1,2000,212447.71480709955,247779.60831747242,179944.22190645218
1,1,3,22,591,2,2000,0.0042245823940324214,0.00490063893717244,0.003577326773865286
1,1,3,22,591,3,2000,3.4834472264133467,4.062774646171151,2.950496319898239
1,1,3,22,591,1,2003,238879.1079550306,276641.08115750627,201552.49652970463
1,1,3,22,591,2,2003,0.004622669152305716,0.005334137049856316,0.0039320455110300025
1,1,3,22,591,3,2003,3.770116991612597,4.366096514586512,3.1810085795013374
1,1,3,22,591,1,2001,221473.2317557385,258906.9586547774,187223.2759026228
1,1,3,22,591,2,2001,0.00437281367640783,0.005054814357594296,0.003691450880663361
1,1,3,22,591,3,2001,3.5859124998842558,4.192008632316922,3.031365370912812
1,1,3,22,591,1,2004,246364.9642992882,284782.7229319786,208941.5303621073
1,1,3,22,591,2,2004,0.00472892285365457,0.005429926208392131,0.004017362586383135
1,1,3,22,591,3,2004,3.8384339711016677,4.436993227482622,3.2553665672266203
1,1,3,22,591,1,2006,260664.49681552412,300503.96701907145,222215.3837735574
1,1,3,22,591,2,2006,0.005045350394604669,0.005830006121838671,0.00431269871075978
1,1,3,22,591,3,2006,3.9562238010679924,4.5608855872596,3.372664098826546
1,1,3,22,591,1,2005,253862.87786589953,294441.99601906346,216089.5076075339
1,1,3,22,591,2,2005,0.004867132583314584,0.00561873471154302,0.0041376821197825235
1,1,3,22,591,3,2005,3.9041725131719063,4.528241219215746,3.323253573261054
1,1,3,22,591,1,2008,281037.1000926744,325915.0395237824,239323.9155378226
1,1,3,22,591,2,2008,0.005354872053222847,0.00618050177582197,0.0045657666697931166
1,1,3,22,591,3,2008,4.152108223974183,4.815145457583099,3.535827823339393
1,1,3,22,591,1,2007,269675.0372550448,313178.35172223,227698.04295041593
1,1,3,22,591,2,2007,0.005206991183888201,0.0060058062303006525,0.00445215931586446
1,1,3,22,591,3,2007,4.038632413043217,4.690134671725849,3.4099882065701004
1,1,3,22,591,1,2009,292791.935167547,338982.17962009506,248123.2080645609
1,1,3,22,591,2,2009,0.005583295565045067,0.006440171450619962,0.0047552361958949395
1,1,3,22,591,3,2009,4.267443361421562,4.940666317302057,3.6163965256208837
1,1,3,22,591,1,2011,319291.52870615607,367280.05232739536,272033.7808235761
1,1,3,22,591,2,2011,0.006001004955801197,0.006922721507798958,0.00511312720848416
1,1,3,22,591,3,2011,4.5367801701020944,5.218644118198495,3.8652997385787025
1,1,3,22,591,1,2012,330963.1922817453,382358.8895048924,280655.46872757137
1,1,3,22,591,2,2012,0.00621038744343365,0.007163599309283086,0.0052748521839709
1,1,3,22,591,3,2012,4.644229451151288,5.365437779668377,3.938288075193766
1,1,3,22,591,1,2013,345997.5325836465,398562.3456154892,295729.719642542
1,1,3,22,591,2,2013,0.006436203986481567,0.007388248330990693,0.005463377737069005
1,1,3,22,591,3,2013,4.794720900263033,5.523146926252875,4.098125951971149
1,1,3,22,591,1,2010,305797.90656613064,354425.69840740977,259736.39847814906
1,1,3,22,591,2,2010,0.005762288151966473,0.0066567325217290986,0.004916608786033848
1,1,3,22,591,3,2010,4.399491324093449,5.099095682795177,3.736807895409113
1,1,3,22,591,1,2015,375232.14394590183,431351.63311556325,319936.3247416894
1,1,3,22,591,2,2015,0.006855012582436203,0.007847660655415273,0.005830887845340624
1,1,3,22,591,3,2015,5.07316507176454,5.831904526510834,4.32556169308955
1,1,3,22,591,1,2014,359971.11136358173,412675.62866026955,306716.5942089634
1,1,3,22,591,2,2014,0.006628665562280893,0.007598133078680002,0.005641289367067685
1,1,3,22,591,3,2014,4.92697779798804,5.648352314934145,4.1980753517071125
1,1,3,22,591,1,2016,390791.1599634837,448947.95600992616,332750.4438263633
1,1,3,22,591,2,2016,0.00706261673869472,0.008061307625930245,0.0060309834320213425
1,1,3,22,591,3,2016,5.219866594670998,5.996677198483745,4.444606490723796
1,1,3,22,591,1,2018,417325.4583667627,477485.8196807026,355191.8111523329
1,1,3,22,591,2,2018,0.007400949934494598,0.008498915529367275,0.006265064522737203
1,1,3,22,591,3,2018,5.446671664320904,6.231847187919019,4.635742043568351
1,1,3,22,591,1,2019,434079.7200319716,500836.6995910433,368352.4803532549
1,1,3,22,591,2,2019,0.007620588340068055,0.008788936164122251,0.0064177607030705104
1,1,3,22,591,3,2019,5.604406859333673,6.466306775141088,4.755801923647356
1,1,3,22,591,1,2017,403870.7620920683,462782.81493138114,343777.9698519474
1,1,3,22,591,2,2017,0.007235942698304906,0.008280270395568883,0.006149799194345903
1,1,3,22,591,3,2017,5.331236808331586,6.108896728362433,4.5379907108759685
1,1,3,22,591,1,1996,179401.96718490394,211680.8022454174,150605.293018622
1,1,3,22,591,2,1996,0.0036608301664228134,0.004282789645709465,0.003083724146297225
1,1,3,22,591,3,1996,3.0939939164603025,3.65067967010491,2.5973620451222517
1,1,3,22,591,1,1993,162698.83060759018,192407.47528665865,135617.53765550227
1,1,3,22,591,2,1993,0.003404244810656049,0.004013819268105302,0.002847133731022382
1,1,3,22,591,3,1993,2.9181195916357776,3.4509653272516014,2.4323972835208667
1,1,3,22,591,1,2021,454358.5390976148,524688.463656866,381290.7842200989
1,1,3,22,591,2,2021,0.006695214276525863,0.0077024320177847775,0.005589416903038262
1,1,3,22,591,3,2021,5.757675797572811,6.6489034727127025,4.831754069158084
1,1,3,22,591,1,2002,230054.25504815107,266735.99951851135,194650.99314712934
1,1,3,22,591,2,2002,0.004500076954441541,0.005190303327839239,0.0038159450853210175
1,1,3,22,591,3,2002,3.677702903295061,4.2641061328651295,3.111737804965318
1,1,3,22,591,1,2020,445426.09989877034,515604.6816502751,375114.00088644744
1,1,3,22,591,2,2020,0.007057402910367066,0.008123253316647422,0.0059197783300629836
1,1,3,22,591,3,2020,5.694264773496128,6.5914179174460035,4.795404763614731
2,1,3,22,591,1,1990,4344895.692490286,5110004.384339569,3676493.543876323
2,1,3,22,591,2,1990,0.0016805631099988043,0.0019603723663299774,0.0014022320809802956
2,1,3,22,591,3,1990,81.46236330827564,95.80737102237859,68.93050465847344
2,1,3,22,591,1,1996,5056712.149838506,5909365.29430298,4272048.513089932
2,1,3,22,591,2,1996,0.0019192684404739989,0.0022251553421062456,0.001627919648057708
2,1,3,22,591,3,1996,87.20883541241193,101.91382267213814,73.67640565892154
2,1,3,22,591,1,1995,4921591.590542311,5746471.949514989,4179204.364283643
2,1,3,22,591,2,1995,0.00186434858372689,0.0021614455876813104,0.0015815520831206997
2,1,3,22,591,3,1995,85.98076416874319,100.39151774458861,73.01117499244988
2,1,3,22,591,1,1994,4788525.510086926,5586758.681766093,4045664.319546492
2,1,3,22,591,2,1994,0.001797932163579238,0.002084762846612068,0.0015181777297494788
2,1,3,22,591,3,1994,84.74577746641262,98.87265025657187,71.59886010962656
2,1,3,22,591,1,1993,4669695.661304575,5504060.3583325,3954380.2390699554
2,1,3,22,591,2,1993,0.0017858520242773096,0.0020700909901200143,0.0015064967358973385
2,1,3,22,591,3,1993,83.75432291271655,98.71924896580424,70.92463052939164
2,1,3,22,591,1,1992,4553525.858348997,5350552.864229297,3836450.009165971
2,1,3,22,591,2,1992,0.001752544478308442,0.0020538045134632795,0.0014763298680166043
2,1,3,22,591,3,1992,82.83343367821912,97.33219478886157,69.78906835708065
2,1,3,22,591,1,1991,4438536.382689205,5203635.011167219,3747611.07853386
2,1,3,22,591,2,1991,0.001707720802092408,0.0019904734606895984,0.0014337618186068078
2,1,3,22,591,3,1991,81.94452080713334,96.06981686764225,69.188617040444
2,1,3,22,591,1,2000,5808093.849061658,6685358.15511388,4966666.378934838
2,1,3,22,591,2,2000,0.002193049607274401,0.002531905394026181,0.0018633820523567368
2,1,3,22,591,3,2000,95.23373046225922,109.61799398104431,81.43707376626858
2,1,3,22,591,1,2001,6001665.10673724,6931791.526267711,5169331.329182887
2,1,3,22,591,2,2001,0.0022663584276231535,0.00260308967445373,0.001935853265555028
2,1,3,22,591,3,2001,97.1740275597013,112.23386990645238,83.69756327845658
2,1,3,22,591,1,1998,5377543.928041855,6275031.610072665,4581407.724612736
2,1,3,22,591,2,1998,0.0020401879457956594,0.0023563437919980066,0.0017312872087330506
2,1,3,22,591,3,1998,90.41107028574415,105.5002676937927,77.02586558850119
2,1,3,22,591,1,2002,6199292.733457214,7148626.763108706,5330932.44063873
2,1,3,22,591,2,2002,0.002338422231290261,0.0026831917360750942,0.001992715255012695
2,1,3,22,591,3,2002,99.10339141277615,114.27967457396079,85.22157397220663
2,1,3,22,591,1,1999,5580543.33848022,6460743.808285601,4768519.398756049
2,1,3,22,591,2,1999,0.00210976929467016,0.002436415706090895,0.0017923108635716604
2,1,3,22,591,3,1999,92.65566780725013,107.26993695407545,79.17335688390062
2,1,3,22,591,1,2003,6407497.535454763,7362540.673818659,5550390.158914736
2,1,3,22,591,2,2003,0.0024147575741407085,0.0027655052441981102,0.002068183279255648
2,1,3,22,591,3,2003,101.12653023085416,116.19952842853053,87.59920625684468
2,1,3,22,591,1,1997,5193503.232913977,6055610.783620229,4417205.19141146
2,1,3,22,591,2,1997,0.001975315058652221,0.0022847350863226742,0.001676546109086661
2,1,3,22,591,3,1997,88.42900905426455,103.10798642044952,75.21109747085009
2,1,3,22,591,1,2007,7062866.481559966,8105514.972509775,6179179.159549706
2,1,3,22,591,2,2007,0.0026933147603928364,0.003098345782701447,0.0023233879374835262
2,1,3,22,591,3,2007,105.77293987521627,121.38756269615628,92.53890717425577
2,1,3,22,591,1,2009,7521386.702038396,8598017.047634099,6547142.530354248
2,1,3,22,591,2,2009,0.0028774981726291345,0.0033071781595455717,0.002492970545058646
2,1,3,22,591,3,2009,109.62423446510225,125.31612508493185,95.42462264697596
